Year,Raum,Value
2001,Schleswig-Holstein,8.4
2002,Schleswig-Holstein,8.4
2003,Schleswig-Holstein,8.4
2004,Schleswig-Holstein,8.4
2005,Schleswig-Holstein,4.5
2006,Schleswig-Holstein,6.5
2007,Schleswig-Holstein,7.4
2008,Schleswig-Holstein,3.1
2009,Schleswig-Holstein,3.3
2010,Schleswig-Holstein,3.0
2011,Schleswig-Holstein,4.8
2012,Schleswig-Holstein,2.3
2013,Schleswig-Holstein,2.7
2014,Schleswig-Holstein,2.9
2015,Schleswig-Holstein,2.8
2016,Schleswig-Holstein,0.9
2017,Schleswig-Holstein,3.4
2001,Deutschland,121.0
2002,Deutschland,109.5
2003,Deutschland,98.8
2004,Deutschland,131.1
2005,Deutschland,117.7
2006,Deutschland,106.1
2007,Deutschland,96.2
2008,Deutschland,95.1
2009,Deutschland,78.0
2010,Deutschland,76.8
2011,Deutschland,117.9
2012,Deutschland,64.4
2013,Deutschland,62.7
2014,Deutschland,81.5
2015,Deutschland,47.1
2016,Deutschland,51.3
2017,Deutschland,68.6
