Value,Disaggregation combinations using this value,Number of indicators
Kita 0 - 2 Jahre,1,1
Kita 3 - 5 Jahre,1,1
Kita u. TP 0 - 2 Jahre,1,1
Kita u. TP 3 - 5 Jahre,1,1
TP ohne Kita 0 - 2 Jahre,1,1
TP ohne Kita 3 - 5 Jahre,1,1
