Value,Disaggregation combinations using this value,Number of indicators
Abfallwirtschaft,1,1
Energiewirtschaft,1,1
Gebäude,1,1
Industrie,1,1
Landwirtschaft,1,1
LULUCF,1,1
Verkehr,1,1
