Value,Disaggregation combinations using this value,Number of indicators
Berechnungen des Breitbandkompetenzzentrums Schleswig-Holstein (BKZSH),1,1
Prognose des Breitbandkompetenzzentrums Schleswig-Holstein (BKZSH),1,1
Zahlen des Breitbandatlasses des Bundes,1,1
