Value,Disaggregation combinations using this value,Number of indicators
10.0,1,1
11.1,1,1
18.9,1,1
19.8,1,1
19.9,1,1
2.4,1,1
2.5,1,1
2.8,1,1
32.3,1,1
37.4,1,1
42.8,1,1
45.6,1,1
7.1,1,1
7.4,1,1
7.5,2,1
7.6,1,1
7.7,1,1
7.8,1,1
7.9,1,1
8.2,1,1
9.8,1,1
Anteil Alleinerziehende,1,1
Anteil Langzeitarbeitslose,1,1
Anteil Menschen ohne abgeschlossene Berufsausbildung,1,1
