Indicator
#1-1
#1-2-1
#1-2-2
#1-3
#1-4
#10-2
#10-4
#10-5
#11-1
#15-1
#15-2
#16-3
#3-1
#3-2
#4-1
#4-2
#4-5
#4-7
#4-8
#4-9
#5-1-1
#5-1-2
#7-1
#8-8
#9-2
#9-4
#9-5
