Value,Disaggregation combinations using this value,Number of indicators
Anlagengenehmigung und -zulassung,1,1
Bauvorbescheid und Baugenehmigung,1,1
Bürgergeld,1,1
Eheschließung,1,1
Einbürgerung,1,1
Elterngeld,1,1
Führerschein,1,1
Handwerksgründung /-register /-karte,1,1
Personalausweis,1,1
Ummeldung,1,1
Unterhaltsvorschuss,1,1
Unternehmensanmeldung und -genehmigung,1,1
Wohngeld,1,1
Öffentliche Vergabe,1,1
