Value,Disaggregation combinations using this value,Number of indicators
Haus- und Sperrmüll (Deutschland),1,1
Haus- und Sperrmüll (SH),1,1
Leichtverpackungen (Deutschland),1,1
Leichtverpackungen (SH),1,1
Siedlungsabfälle (Deutschland),1,1
Siedlungsabfälle (SH),1,1
