Value,Disaggregation combinations using this value,Number of indicators
ESA (mit Migrationshintergrund),1,1
ESA (ohne Migrationshintergrund),1,1
Fachhochschulreife (mit Migrationshintergrund),1,1
Fachhochschulreife (ohne Migrationshintergrund),1,1
Hochschulreife (mit Migrationshintergrund),1,1
Hochschulreife (ohne Migrationshintergrund),1,1
MSA (mit Migrationshintergrund),1,1
MSA (ohne Migrationshintergrund),1,1
ohne ESA (mit Migrationshintergrund),1,1
ohne ESA (ohne Migrationshintergrund),1,1
