Value,Disaggregation combinations using this value,Number of indicators
Abteilungsleitung oberste Landesbehörden,1,1
Hochschulprofessuren,1,1
Juniorprofessuren,1,1
Justiz,1,1
Referatsleitung oberste Landesbehörden,1,1
