Value,Disaggregation combinations using this value,Number of indicators
Afrika,1,1
Amerika,1,1
Asien,1,1
Austr./Ozean.,1,1
EU ohne DE,1,1
Europa ohne EU und ohne DE,1,1
Inländer,1,1
Insgesamt,1,1
sonst./unbek.,1,1
