Value,Disaggregation combinations using this value,Number of indicators
Erheblich veränderte und künstliche Fließgewässer-Wasserkörper mit gutem Potenzial,1,1
Erheblich veränderte und künstliche Fließgewässer-Wasserkörper mit nicht gutem Potenzial,1,1
FG eingehalten,1,1
FG nicht eingehalten,1,1
natürliche Fließgewässer-Wasserkörper mit gutem Zustand,1,1
natürliche Fließgewässer-Wasserkörper mit nicht gutem Zustand,1,1
Seen eingehalten,1,1
Seen nicht eingehalten,1,1
