Value,Disaggregation combinations using this value,Number of indicators
Anteil Alleinerziehende,3,1
Anteil Langzeitarbeitslose,2,1
Anteil Menschen ohne abgeschlossene Berufsausbildung,3,1
Arbeitslosenquote insgesamt,4,2
Ausländer,4,2
Frauen,4,2
Langzeitarbeitslose,4,2
Männer,4,2
