Year,Gebiet,Value
2000,Ostsee,212
2001,Ostsee,231
2002,Ostsee,278
2003,Ostsee,243
2004,Ostsee,236
2005,Ostsee,232
2006,Ostsee,225
2007,Ostsee,218
2008,Ostsee,243
2009,Ostsee,234
2010,Ostsee,260
2011,Ostsee,271
2012,Ostsee,251
2013,Ostsee,244
2014,Ostsee,242
2015,Ostsee,232
2016,Ostsee,219
2017,Ostsee,228
2018,Ostsee,215
2019,Ostsee,210
2020,Ostsee,199
2021,Ostsee,202
2022,Ostsee,183
2023,Ostsee,197
2000,Nordsee,259
2001,Nordsee,295
2002,Nordsee,348
2003,Nordsee,298
2004,Nordsee,280
2005,Nordsee,282
2006,Nordsee,278
2007,Nordsee,283
2008,Nordsee,322
2009,Nordsee,332
2010,Nordsee,352
2011,Nordsee,389
2012,Nordsee,371
2013,Nordsee,372
2014,Nordsee,370
2015,Nordsee,380
2016,Nordsee,354
2017,Nordsee,397
2018,Nordsee,387
2019,Nordsee,381
2020,Nordsee,362
2021,Nordsee,355
2022,Nordsee,292
2023,Nordsee,320
2000,Elbe,427
2001,Elbe,494
2002,Elbe,565
2003,Elbe,522
2004,Elbe,503
2005,Elbe,501
2006,Elbe,470
2007,Elbe,469
2008,Elbe,527
2009,Elbe,538
2010,Elbe,564
2011,Elbe,579
2012,Elbe,521
2013,Elbe,488
2014,Elbe,481
2015,Elbe,450
2016,Elbe,458
2017,Elbe,527
2018,Elbe,529
2019,Elbe,563
2020,Elbe,555
2021,Elbe,538
2022,Elbe,454
2023,Elbe,486
