Year,Ausgaben für Barrierefreiheit,Value
2019,investive Vorhaben,2900
2020,investive Vorhaben,1800
2021,investive Vorhaben,3400
2022,investive Vorhaben,2080
2023,investive Vorhaben,733
2024,investive Vorhaben,1360
2019,nichtinvestive Vorhaben,536
2020,nichtinvestive Vorhaben,165
2021,nichtinvestive Vorhaben,313
2022,nichtinvestive Vorhaben,0
2023,nichtinvestive Vorhaben,44
2024,nichtinvestive Vorhaben,28
