Year,Gebiet,Value
2005,Schleswig-Holstein,78.2
2006,Schleswig-Holstein,88.4
2007,Schleswig-Holstein,73.6
2008,Schleswig-Holstein,85
2009,Schleswig-Holstein,67
2010,Schleswig-Holstein,81
2011,Schleswig-Holstein,92.5
2012,Schleswig-Holstein,81
2013,Schleswig-Holstein,87.3
2014,Schleswig-Holstein,69.5
2015,Schleswig-Holstein,105.2
2016,Schleswig-Holstein,94.9
2017,Schleswig-Holstein,85.2
2018,Schleswig-Holstein,105.9
2019,Schleswig-Holstein,79.6
2020,Schleswig-Holstein,73.8
2021,Schleswig-Holstein,53.1
2022,Schleswig-Holstein,57.5
2005,Deutschland,63.6
2006,Deutschland,71.3
2007,Deutschland,59.6
2008,Deutschland,67
2009,Deutschland,50.3
2010,Deutschland,61.9
2011,Deutschland,73.6
2012,Deutschland,64
2013,Deutschland,70.5
2014,Deutschland,55.1
2015,Deutschland,82.5
2016,Deutschland,75.5
2017,Deutschland,67.7
2018,Deutschland,85.7
2019,Deutschland,61.4
2020,Deutschland,58.2
2021,Deutschland,41.2
2022,Deutschland,45.8
