Year,Gebiet,Value
2005,Stickstoffkonzentration Ostsee,5.1
2006,Stickstoffkonzentration Ostsee,5.2
2007,Stickstoffkonzentration Ostsee,5.3
2008,Stickstoffkonzentration Ostsee,5.4
2009,Stickstoffkonzentration Ostsee,5.2
2010,Stickstoffkonzentration Ostsee,5.3
2011,Stickstoffkonzentration Ostsee,5.1
2012,Stickstoffkonzentration Ostsee,4.7
2013,Stickstoffkonzentration Ostsee,4.6
2014,Stickstoffkonzentration Ostsee,4.5
2015,Stickstoffkonzentration Ostsee,4.2
2016,Stickstoffkonzentration Ostsee,4.1
2017,Stickstoffkonzentration Ostsee,4.1
2018,Stickstoffkonzentration Ostsee,4
2019,Stickstoffkonzentration Ostsee,4.1
2020,Stickstoffkonzentration Ostsee,4
2021,Stickstoffkonzentration Ostsee,4.1
2022,Stickstoffkonzentration Ostsee,4.1
2023,Stickstoffkonzentration Ostsee,4.3
2005,Stickstoffkonzentration Nordsee,4.4
2006,Stickstoffkonzentration Nordsee,4.4
2007,Stickstoffkonzentration Nordsee,4.5
2008,Stickstoffkonzentration Nordsee,4.7
2009,Stickstoffkonzentration Nordsee,4.4
2010,Stickstoffkonzentration Nordsee,4.4
2011,Stickstoffkonzentration Nordsee,4.2
2012,Stickstoffkonzentration Nordsee,3.9
2013,Stickstoffkonzentration Nordsee,3.7
2014,Stickstoffkonzentration Nordsee,3.6
2015,Stickstoffkonzentration Nordsee,3.5
2016,Stickstoffkonzentration Nordsee,3.4
2017,Stickstoffkonzentration Nordsee,3.4
2018,Stickstoffkonzentration Nordsee,3.3
2019,Stickstoffkonzentration Nordsee,3.5
2020,Stickstoffkonzentration Nordsee,3.4
2021,Stickstoffkonzentration Nordsee,3.5
2022,Stickstoffkonzentration Nordsee,3.5
2023,Stickstoffkonzentration Nordsee,3.6
