Year,Geschlecht,Value
2006,Frauen,13.56
2007,Frauen,13.72
2008,Frauen,13.98
2009,Frauen,14.28
2010,Frauen,13.87225056
2011,Frauen,14.11
2012,Frauen,14.45
2013,Frauen,14.59
2014,Frauen,14.77
2015,Frauen,15.07
2016,Frauen,15.41
2017,Frauen,15.95
2018,Frauen,16.56748311
2019,Frauen,17.13
2020,Frauen,17.5
2021,Frauen,18.07
2022,Frauen,18.92
2023,Frauen,19.77
2024,Frauen,20.78
2006,Männer,16.58
2007,Männer,16.74
2008,Männer,17.18
2009,Männer,17.46
2010,Männer,16.82265144
2011,Männer,17.02
2012,Männer,17.64
2013,Männer,17.74
2014,Männer,17.83
2015,Männer,17.99
2016,Männer,18.37
2017,Männer,18.59
2018,Männer,19.26589082
2019,Männer,19.64
2020,Männer,20.15
2021,Männer,20.63
2022,Männer,21.5
2023,Männer,22.51
2024,Männer,23.45
2006,unbereinigter Gender Pay Gap ,18
2007,unbereinigter Gender Pay Gap ,18
2008,unbereinigter Gender Pay Gap ,19
2009,unbereinigter Gender Pay Gap ,18
2010,unbereinigter Gender Pay Gap ,18
2011,unbereinigter Gender Pay Gap ,17
2012,unbereinigter Gender Pay Gap ,18
2013,unbereinigter Gender Pay Gap ,18
2014,unbereinigter Gender Pay Gap ,17
2015,unbereinigter Gender Pay Gap ,16
2016,unbereinigter Gender Pay Gap ,16
2017,unbereinigter Gender Pay Gap ,14
2018,unbereinigter Gender Pay Gap ,14
2019,unbereinigter Gender Pay Gap ,13
2020,unbereinigter Gender Pay Gap ,13
2021,unbereinigter Gender Pay Gap ,12
2022,unbereinigter Gender Pay Gap ,12
2023,unbereinigter Gender Pay Gap ,12
2024,unbereinigter Gender Pay Gap ,11
