Year,Frauenanteil,Value
2011,Landesparlament,36
2015,Landesparlament,32
2018,Landesparlament,32
2023,Landesparlament,42
2011,Kommunalvertretungen,30
2015,Kommunalvertretungen,31
2018,Kommunalvertretungen,31
2023,Kommunalvertretungen,33
2011,Landesregierung,25
2015,Landesregierung,50
2018,Landesregierung,37.5
2023,Landesregierung,43.8
2011,Kommunale Verwaltungsspitzen,13
2015,Kommunale Verwaltungsspitzen,7
2018,Kommunale Verwaltungsspitzen,NaN
2023,Kommunale Verwaltungsspitzen,6.7
2011,Orientierungswert,50
2015,Orientierungswert,50
2018,Orientierungswert,50
2023,Orientierungswert,50
