Year,Raum,Value
2005,Schleswig-Holstein,2.66
2006,Schleswig-Holstein,2.73
2007,Schleswig-Holstein,2.73
2008,Schleswig-Holstein,2.74
2009,Schleswig-Holstein,2.77
2010,Schleswig-Holstein,2.77
2011,Schleswig-Holstein,2.84
2012,Schleswig-Holstein,2.84
2013,Schleswig-Holstein,2.88
2014,Schleswig-Holstein,2.92
2015,Schleswig-Holstein,3.05
2016,Schleswig-Holstein,3.07
2017,Schleswig-Holstein,3.12
2018,Schleswig-Holstein,3.11
2019,Schleswig-Holstein,3.13
2020,Schleswig-Holstein,3.13
2021,Schleswig-Holstein,3.31
2022,Schleswig-Holstein,3.17
2023,Schleswig-Holstein,3.17
2024,Schleswig-Holstein,3.17
2025,Schleswig-Holstein,3.18
