Year,Gruppe,Value
2021,Männer,
2022,Männer,42
2023,Männer,45
2024,Männer,
2025,Männer,78
2021,Frauen,38
2022,Frauen,48
2023,Frauen,42
2024,Frauen,
2025,Frauen,
