Year,Units,Series,Gebiet,Value
1997,kq/(ha*a),Stickstoffeinträge,Deutschland,10.8
1998,kq/(ha*a),Stickstoffeinträge,Deutschland,12.02
1999,kq/(ha*a),Stickstoffeinträge,Deutschland,10.85
2000,kq/(ha*a),Stickstoffeinträge,Deutschland,10.85
2001,kq/(ha*a),Stickstoffeinträge,Deutschland,10.38
2002,kq/(ha*a),Stickstoffeinträge,Deutschland,11.05
2003,kq/(ha*a),Stickstoffeinträge,Deutschland,9.03
2004,kq/(ha*a),Stickstoffeinträge,Deutschland,8.57
2005,kq/(ha*a),Stickstoffeinträge,Deutschland,9.56
2006,kq/(ha*a),Stickstoffeinträge,Deutschland,9.65
2007,kq/(ha*a),Stickstoffeinträge,Deutschland,10.2
2008,kq/(ha*a),Stickstoffeinträge,Deutschland,9.38
2009,kq/(ha*a),Stickstoffeinträge,Deutschland,9.08
2010,kq/(ha*a),Stickstoffeinträge,Deutschland,9.37
2011,kq/(ha*a),Stickstoffeinträge,Deutschland,7.72
2012,kq/(ha*a),Stickstoffeinträge,Deutschland,7.44
2013,kq/(ha*a),Stickstoffeinträge,Deutschland,8.25
2014,kq/(ha*a),Stickstoffeinträge,Deutschland,6.91
2015,kq/(ha*a),Stickstoffeinträge,Deutschland,6.82
2016,kq/(ha*a),Stickstoffeinträge,Deutschland,7.54
2017,kq/(ha*a),Stickstoffeinträge,Deutschland,8.12
2018,kq/(ha*a),Stickstoffeinträge,Deutschland,6.17
2019,kq/(ha*a),Stickstoffeinträge,Deutschland,6.99
2020,kq/(ha*a),Stickstoffeinträge,Deutschland,5.55
2021,kq/(ha*a),Stickstoffeinträge,Deutschland,6.63
2022,kq/(ha*a),Stickstoffeinträge,Deutschland,5.35
2023,kq/(ha*a),Stickstoffeinträge,Deutschland,5.78
