Year,Gruppe,Value
2005,SGB-II-Leistungsbeziehende,10.4
2006,SGB-II-Leistungsbeziehende,11.5
2007,SGB-II-Leistungsbeziehende,11.3
2008,SGB-II-Leistungsbeziehende,10.9
2009,SGB-II-Leistungsbeziehende,10.6
2010,SGB-II-Leistungsbeziehende,10.6
2011,SGB-II-Leistungsbeziehende,10.3
2012,SGB-II-Leistungsbeziehende,10.1
2013,SGB-II-Leistungsbeziehende,10.1
2014,SGB-II-Leistungsbeziehende,10.0
2015,SGB-II-Leistungsbeziehende,10.0
2016,SGB-II-Leistungsbeziehende,10.0
2017,SGB-II-Leistungsbeziehende,10.4
