Year,Gebiet,Value
2012,Schleswig-Holstein,49.0
2013,Schleswig-Holstein,44.6
2014,Schleswig-Holstein,43.6
2015,Schleswig-Holstein,44.3
2016,Schleswig-Holstein,41.4
2017,Schleswig-Holstein,41.4
2018,Schleswig-Holstein,38.8
2019,Schleswig-Holstein,45.0
2012,Deutschland,84.0
2013,Deutschland,79.8
2014,Deutschland,80.9
2015,Deutschland,77.4
2016,Deutschland,78.0
2017,Deutschland,77.5
2018,Deutschland,74.9
2019,Deutschland,79.2
