Year,Raum,Value
2005,SH Stickstoff-Überschuss in der Landwirtschaft ,78.2
2006,SH Stickstoff-Überschuss in der Landwirtschaft ,88.4
2007,SH Stickstoff-Überschuss in der Landwirtschaft ,73.6
2008,SH Stickstoff-Überschuss in der Landwirtschaft ,85.0
2009,SH Stickstoff-Überschuss in der Landwirtschaft ,67.0
2010,SH Stickstoff-Überschuss in der Landwirtschaft ,81.0
2011,SH Stickstoff-Überschuss in der Landwirtschaft ,92.5
2012,SH Stickstoff-Überschuss in der Landwirtschaft ,81.0
2013,SH Stickstoff-Überschuss in der Landwirtschaft ,87.3
2014,SH Stickstoff-Überschuss in der Landwirtschaft ,69.5
2015,SH Stickstoff-Überschuss in der Landwirtschaft ,105.2
2016,SH Stickstoff-Überschuss in der Landwirtschaft ,94.9
2017,SH Stickstoff-Überschuss in der Landwirtschaft ,85.2
2018,SH Stickstoff-Überschuss in der Landwirtschaft ,105.9
2019,SH Stickstoff-Überschuss in der Landwirtschaft ,79.6
2020,SH Stickstoff-Überschuss in der Landwirtschaft ,73.8
2021,SH Stickstoff-Überschuss in der Landwirtschaft ,53.1
2022,SH Stickstoff-Überschuss in der Landwirtschaft ,57.5
2005,Deutschland Stickstoff-Überschuss in der Landwirtschaft,63.6
2006,Deutschland Stickstoff-Überschuss in der Landwirtschaft,71.3
2007,Deutschland Stickstoff-Überschuss in der Landwirtschaft,59.6
2008,Deutschland Stickstoff-Überschuss in der Landwirtschaft,67.0
2009,Deutschland Stickstoff-Überschuss in der Landwirtschaft,50.3
2010,Deutschland Stickstoff-Überschuss in der Landwirtschaft,61.9
2011,Deutschland Stickstoff-Überschuss in der Landwirtschaft,73.6
2012,Deutschland Stickstoff-Überschuss in der Landwirtschaft,64.0
2013,Deutschland Stickstoff-Überschuss in der Landwirtschaft,70.5
2014,Deutschland Stickstoff-Überschuss in der Landwirtschaft,55.1
2015,Deutschland Stickstoff-Überschuss in der Landwirtschaft,82.5
2016,Deutschland Stickstoff-Überschuss in der Landwirtschaft,75.5
2017,Deutschland Stickstoff-Überschuss in der Landwirtschaft,67.7
2018,Deutschland Stickstoff-Überschuss in der Landwirtschaft,85.7
2019,Deutschland Stickstoff-Überschuss in der Landwirtschaft,61.4
2020,Deutschland Stickstoff-Überschuss in der Landwirtschaft,58.2
2021,Deutschland Stickstoff-Überschuss in der Landwirtschaft,41.2
2022,Deutschland Stickstoff-Überschuss in der Landwirtschaft,45.8
