Year,Gebiet,Value
2011,Fairtrade-Gemeinden und -Kreise,1
2012,Fairtrade-Gemeinden und -Kreise,3
2013,Fairtrade-Gemeinden und -Kreise,6
2014,Fairtrade-Gemeinden und -Kreise,11
2015,Fairtrade-Gemeinden und -Kreise,14
2016,Fairtrade-Gemeinden und -Kreise,15
2017,Fairtrade-Gemeinden und -Kreise,18
2018,Fairtrade-Gemeinden und -Kreise,22
2019,Fairtrade-Gemeinden und -Kreise,23
2020,Fairtrade-Gemeinden und -Kreise,25
2021,Fairtrade-Gemeinden und -Kreise,27
2022,Fairtrade-Gemeinden und -Kreise,28
2023,Fairtrade-Gemeinden und -Kreise,32
2024,Fairtrade-Gemeinden und -Kreise,33
2025,Fairtrade-Gemeinden und -Kreise,33
