Year,Gebiet,Value
2005,Schleswig-Holstein,8539
2006,Schleswig-Holstein,8464
2007,Schleswig-Holstein,8462
2008,Schleswig-Holstein,8393
2009,Schleswig-Holstein,8446
2010,Schleswig-Holstein,7734
2011,Schleswig-Holstein,7673
2012,Schleswig-Holstein,7360
2013,Schleswig-Holstein,6971
2014,Schleswig-Holstein,6908
2015,Schleswig-Holstein,6692
2016,Schleswig-Holstein,6646
2017,Schleswig-Holstein,6333
2018,Schleswig-Holstein,6264
2019,Schleswig-Holstein,6163
2020,Schleswig-Holstein,5857
2021,Schleswig-Holstein,5949
2022,Schleswig-Holstein,7384
2023,Schleswig-Holstein,6423
2024,Schleswig-Holstein,6913
2005,Deutschland,7622
2006,Deutschland,7525
2007,Deutschland,7527
2008,Deutschland,7343
2009,Deutschland,7293
2010,Deutschland,7163
2011,Deutschland,7323
2012,Deutschland,7219
2013,Deutschland,7266
2014,Deutschland,7337
2015,Deutschland,7301
2016,Deutschland,7161
2017,Deutschland,6764
2018,Deutschland,6513
2019,Deutschland,6349
2020,Deutschland,6209
2021,Deutschland,5894
2022,Deutschland,6491
2023,Deutschland,6688
2024,Deutschland,6555
