Year,Gebiet,Value
2005,Gesamt,0
2006,Gesamt,0
2007,Gesamt,0
2008,Gesamt,0
2009,Gesamt,8
2010,Gesamt,9
2011,Gesamt,11
2012,Gesamt,11
2013,Gesamt,11
2014,Gesamt,12
2015,Gesamt,13
2016,Gesamt,13
2017,Gesamt,14
2018,Gesamt,14
2019,Gesamt,15
2020,Gesamt,15
2021,Gesamt,15
2022,Gesamt,15
2023,Gesamt,15
2024,Gesamt,15
2025,Gesamt,15
2005,Flensburg,0
2006,Flensburg,0
2007,Flensburg,0
2008,Flensburg,0
2009,Flensburg,1
2010,Flensburg,1
2011,Flensburg,1
2012,Flensburg,1
2013,Flensburg,1
2014,Flensburg,1
2015,Flensburg,1
2016,Flensburg,1
2017,Flensburg,1
2018,Flensburg,1
2019,Flensburg,1
2020,Flensburg,1
2021,Flensburg,1
2022,Flensburg,1
2023,Flensburg,1
2024,Flensburg,1
2025,Flensburg,1
2005,Kiel,0
2006,Kiel,0
2007,Kiel,0
2008,Kiel,0
2009,Kiel,1
2010,Kiel,1
2011,Kiel,1
2012,Kiel,1
2013,Kiel,1
2014,Kiel,1
2015,Kiel,1
2016,Kiel,1
2017,Kiel,1
2018,Kiel,1
2019,Kiel,1
2020,Kiel,1
2021,Kiel,1
2022,Kiel,1
2023,Kiel,1
2024,Kiel,1
2025,Kiel,1
2005,Lübeck,0
2006,Lübeck,0
2007,Lübeck,0
2008,Lübeck,0
2009,Lübeck,1
2010,Lübeck,1
2011,Lübeck,1
2012,Lübeck,1
2013,Lübeck,1
2014,Lübeck,1
2015,Lübeck,1
2016,Lübeck,1
2017,Lübeck,1
2018,Lübeck,1
2019,Lübeck,1
2020,Lübeck,1
2021,Lübeck,1
2022,Lübeck,1
2023,Lübeck,1
2024,Lübeck,1
2025,Lübeck,1
2005,Neumünster,0
2006,Neumünster,0
2007,Neumünster,0
2008,Neumünster,0
2009,Neumünster,1
2010,Neumünster,1
2011,Neumünster,1
2012,Neumünster,1
2013,Neumünster,1
2014,Neumünster,1
2015,Neumünster,1
2016,Neumünster,1
2017,Neumünster,1
2018,Neumünster,1
2019,Neumünster,1
2020,Neumünster,1
2021,Neumünster,1
2022,Neumünster,1
2023,Neumünster,1
2024,Neumünster,1
2025,Neumünster,1
2005,Dithmarschen,0
2006,Dithmarschen,0
2007,Dithmarschen,0
2008,Dithmarschen,0
2009,Dithmarschen,1
2010,Dithmarschen,1
2011,Dithmarschen,1
2012,Dithmarschen,1
2013,Dithmarschen,1
2014,Dithmarschen,1
2015,Dithmarschen,1
2016,Dithmarschen,1
2017,Dithmarschen,1
2018,Dithmarschen,1
2019,Dithmarschen,1
2020,Dithmarschen,1
2021,Dithmarschen,1
2022,Dithmarschen,1
2023,Dithmarschen,1
2024,Dithmarschen,1
2025,Dithmarschen,1
2005,Hzgt. Lauenburg,0
2006,Hzgt. Lauenburg,0
2007,Hzgt. Lauenburg,0
2008,Hzgt. Lauenburg,0
2009,Hzgt. Lauenburg,1
2010,Hzgt. Lauenburg,1
2011,Hzgt. Lauenburg,1
2012,Hzgt. Lauenburg,1
2013,Hzgt. Lauenburg,1
2014,Hzgt. Lauenburg,1
2015,Hzgt. Lauenburg,1
2016,Hzgt. Lauenburg,1
2017,Hzgt. Lauenburg,1
