Year,Fairtrade-Towns,Value
 Kreise, Gemeinden),1
 Kreise, Gemeinden),3
 Kreise, Gemeinden),6
 Kreise, Gemeinden),11
 Kreise, Gemeinden),14
 Kreise, Gemeinden),15
 Kreise, Gemeinden),18
 Kreise, Gemeinden),22
 Kreise, Gemeinden),23
 Kreise, Gemeinden),25
 Kreise, Gemeinden),27
 Kreise, Gemeinden),28
 Kreise, Gemeinden),32
 Kreise, Gemeinden),33
