Year,Gruppe,Value
2021,Männer,
2022,Männer,42.0
2023,Männer,45.0
2024,Männer,
2025,Männer,78.0
2021,Frauen,38.0
2022,Frauen,48.0
2023,Frauen,42.0
2024,Frauen,
2025,Frauen,
