Year,Wasserkörper,Value
2016,Fließgewässer eingehalten,189
2021,Fließgewässer eingehalten,258
2016,Seen eingehalten,11
2021,Seen eingehalten,11
2016,Fließgewässer nicht eingehalten,399
2021,Fließgewässer nicht eingehalten,330
2016,Seen nicht eingehalten,51
2021,Seen nicht eingehalten,53
