Year,Geschlecht,Value
2010,Frauen,13.87
2011,Frauen,14.11
2012,Frauen,14.45
2013,Frauen,14.59
2014,Frauen,14.77
2015,Frauen,15.04
2010,Männer,16.82
2011,Männer,17.02
2012,Männer,17.64
2013,Männer,17.74
2014,Männer,17.83
2015,Männer,18.02
2010,unbereinigter Gender Pay Gap ,2.95
2011,unbereinigter Gender Pay Gap ,2.91
2012,unbereinigter Gender Pay Gap ,3.19
2013,unbereinigter Gender Pay Gap ,3.15
2014,unbereinigter Gender Pay Gap ,3.06
2015,unbereinigter Gender Pay Gap ,2.98
