Year,Value
2005,11.6
2006,10.0
2007,8.4
2008,7.6
2009,7.8
2010,7.5
2011,7.2
2012,6.9
2013,6.9
2014,6.8
2015,6.5
2016,6.3
2017,6.0
2018,5.5
