Year,Gebiet,Value
2013,Schleswig-Holstein,44.79
2014,Schleswig-Holstein,43.85
2015,Schleswig-Holstein,44.7
2016,Schleswig-Holstein,41.53
2017,Schleswig-Holstein,41.43
2018,Schleswig-Holstein,38.9
2019,Schleswig-Holstein,45.04
2020,Schleswig-Holstein,39.32
2021,Schleswig-Holstein,36.51
2022,Schleswig-Holstein,37.72
2023,Schleswig-Holstein,41.33
2024,Schleswig-Holstein,42.54
2025,Schleswig-Holstein,42.83
2013,Deutschland,80.01
2014,Deutschland,81.3
2015,Deutschland,78.27
2016,Deutschland,78.28
2017,Deutschland,77.74
2018,Deutschland,75.11
2019,Deutschland,79.23
2020,Deutschland,71.54
2021,Deutschland,70.04
2022,Deutschland,66.78
2023,Deutschland,69.37
2024,Deutschland,69.9
2025,Deutschland,72.2
