Year,Gebiet,Value
2004,Agrarlandschaft,100.0
2005,Agrarlandschaft,83.5
2006,Agrarlandschaft,83.1
2007,Agrarlandschaft,78.7
2008,Agrarlandschaft,80.1
2009,Agrarlandschaft,82.5
2010,Agrarlandschaft,79.7
2011,Agrarlandschaft,82.0
2012,Agrarlandschaft,89.3
2013,Agrarlandschaft,83.7
2014,Agrarlandschaft,78.0
2015,Agrarlandschaft,81.5
2016,Agrarlandschaft,78.0
2017,Agrarlandschaft,59.1
2018,Agrarlandschaft,70.0
2019,Agrarlandschaft,59.6
2020,Agrarlandschaft,76.1
2021,Agrarlandschaft,61.6
2022,Agrarlandschaft,76.9
2004,Wald,100.0
2005,Wald,73.3
2006,Wald,90.1
2007,Wald,93.5
2008,Wald,103.3
2009,Wald,77.9
2010,Wald,109.4
2011,Wald,86.3
2012,Wald,116.0
2013,Wald,116.8
2014,Wald,124.3
2015,Wald,127.9
2016,Wald,132.7
2017,Wald,143.0
2018,Wald,137.9
2019,Wald,137.9
2020,Wald,130.5
2021,Wald,119.4
2022,Wald,103.1
2004,Siedlung,100.0
2005,Siedlung,114.4
2006,Siedlung,116.3
2007,Siedlung,129.3
2008,Siedlung,100.5
2009,Siedlung,112.1
2010,Siedlung,111.4
2011,Siedlung,128.3
2012,Siedlung,111.8
2013,Siedlung,113.3
2014,Siedlung,124.0
2015,Siedlung,108.5
2016,Siedlung,117.5
2017,Siedlung,115.0
2018,Siedlung,112.3
2019,Siedlung,125.4
2020,Siedlung,115.1
2021,Siedlung,101.4
2022,Siedlung,118.9
2004,Gewässer,100.0
2005,Gewässer,63.8
2006,Gewässer,83.4
2007,Gewässer,99.6
2008,Gewässer,83.8
2009,Gewässer,84.1
2010,Gewässer,99.8
2011,Gewässer,96.7
2012,Gewässer,101.8
2013,Gewässer,90.4
2014,Gewässer,80.6
2015,Gewässer,85.8
2016,Gewässer,86.6
2017,Gewässer,101.3
2018,Gewässer,76.3
2019,Gewässer,67.9
2020,Gewässer,56.7
2021,Gewässer,59.5
2022,Gewässer,49.0
2004,Gesamtindikator,100.0
2005,Gesamtindikator,83.1
2006,Gesamtindikator,87.7
2007,Gesamtindikator,89.4
2008,Gesamtindikator,85.2
2009,Gesamtindikator,85.8
2010,Gesamtindikator,89.4
2011,Gesamtindikator,90.2
2012,Gesamtindikator,96.4
2013,Gesamtindikator,91.3
2014,Gesamtindikator,88.2
2015,Gesamtindikator,89.7
2016,Gesamtindikator,89.2
2017,Gesamtindikator,80.3
2018,Gesamtindikator,82.4
2019,Gesamtindikator,76.1
2020,Gesamtindikator,82.7
2021,Gesamtindikator,71.4
2022,Gesamtindikator,79.9
